Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2015,105397,2,CNG,MH-03,Manual,Sedan,509000,Maruti,Ciaz
2019,18475,1,Petrol,HR-29,Manual,Hatchback,386000,Maruti,Alto
2018,22466,1,Petrol,UP-78,Manual,Hatchback,484000,Hyundai,Grand I10
2018,79465,2,Petrol,KA-05,Automatic,Hatchback,386000,Renault,Kwid
2019,49044,2,Petrol,DL-7C,Automatic,SUV,837000,Tata,Nexon
2018,65843,1,Diesel,DL-5C,Automatic,SUV,742000,Maruti,Vitara Brezza
2020,41047,1,CNG,MH-05,Manual,Hatchback,496250,Maruti,S Presso
2018,31349,1,Petrol,KA-01,Automatic,Sedan,632000,Maruti,Dzire
2017,63013,1,Petrol,TN-19,Manual,Hatchback,606000,Maruti,Baleno
2011,66466,2,Petrol,DL-12,Manual,Lux Sedan,379000,Toyota,Corolla Altis
2017,54233,1,Petrol,MP-04,Manual,Hatchback,371000,Maruti,Alto K10
2010,83307,3,Petrol,TN-19,Manual,Sedan,592000,Honda,City
2016,64061,2,Diesel,KA-01,Manual,Lux SUV,1217000,Mahindra,Xuv500
2018,86260,2,Diesel,GJ-16,Manual,Hatchback,675000,Hyundai,Elite I20
2016,49310,1,Petrol,MH-24,Manual,Hatchback,381000,Maruti,Wagon R 1.0
2018,71165,2,Petrol,KA-04,Automatic,Hatchback,690000,Honda,Jazz
2018,58133,1,Petrol,MH-12,Manual,Sedan,470000,Maruti,Ciaz
